source,reference,fine_tuned,original
A report was also made on the practical steps taken to widely use the digital system and improve the professionalism of the employees of the prosecutor’s office.,Şeýle hem sanly ulgamy giňden ulanmak we prokuratura edaralarynyň işgärleriniň hünär derejelerini ýokarlandyrmak maksady bilen görülýän çäreler barada aýdyldy.,Şeýle-de numerik sistemany giňişleýin ulanmak we prokuraturanyň işçileriniň peşgeşligini kämilleşdirmek üçin alnyp barylýan pratik ädimler barada hasabat berildi.,"Şeýle-de, sanly sistemany giňden ulanmak we prokurorlyk işgärleriniň peşgeşliginiň ösüşi üçin alnyp barylýan nädogry ädimler barada hasabat berildi."
The plan for the production of carpet items by the Türkmenhaly State Association was fulfilled at the level of 102.3 per cent.,"“Türkmenhaly” döwlet birleşigi boýunça haly önümlerini öndürmegiň meýilnamasy 102,3 göterim ýerine ýetirildi.",Türkmenhaly Devlet Assotsiatsiýasynyň ýapykma esbaplary satyn almak üçin plany 102.3 sany sany adam bilen amala aşyryldy.,"Türkmenhaly döwlet jemgyýetiniň gulçulyk esbaplary üçin plany 102,3%-da amala aşyryldy."
We are also ready to work with European partners in the field of hydrogen energy and the use of renewable energy sources.,"Biz wodorod energetikasy, energiýanyň gaýtadan dikeldilýän çeşmelerini peýdalanmak boýunça hem ýewropaly hyzmatdaşlar bilen işleşmäge taýýardyrys.",Şeýle-de suwuz energiýasy we täzeden üpjün edilýän energiýadan peýdalanmak babatda Ýewropanyň ýoldaşlary bilen işleşmäge taýyndyrys.,Şeýle-de biz ýuwuz enerjisi we täzelenýän energiýa esbaplary tarapyndaky Ýewropaly ýoldaşlar bilen işleşmäge taýyndyrys.
"As is known, diplomatic relations between the two countries were established in 1992.","Mälim bolşy ýaly, iki ýurduň arasynda diplomatik gatnaşyklar 1992-nji ýylda ýola goýuldy.","Bilşimiz ýaly, iki ýurduň arasynda diplomatik baglanyşygy 1992-nji ýylda guruldy.","Görşümiz ýaly, iki ýurduň arasynda 1992-nji ýylda diplomatik gatnaşyklar guruldy."
I will give another specific example: the Galkynyş field ranks first in the world in terms of gas resources.,Men ýene-de bir anyk mysaly getireýin: Türkmenistandaky «Galkynyş» käni gazyň möçberi boýunça dünýäde birinji orunda durýar.,Men ýene bir aýratyn mysal getirip bilerin: Galkynyş ýeri gaz baýlyklary babatda dünýäde birinji orunda gowuşýar.,Men ýene bir aýratyn mysal getiriň: Galkynyş meýdany gaz resurslary babatda dünýäde birinji orunda.
"Addressing the participants of the sitting, the head of state said that in order to successfully implement the Programme of the President of Turkmenistan of the Socioeconomic Development of the Country in 2022–2028, a draft Programme of the Socioeconomic Development of the Country and Investments in 2025 had been developed.","Hormatly Prezidentimiz mejlise gatnaşyjylara ýüzlenip, “Türkmenistanyň Prezidentiniň ýurdumyzy 2022 — 2028-nji ýyllarda durmuş-ykdysady taýdan ösdürmegiň Maksatnamasyny” üstünlikli durmuşa geçirmek maksady bilen, 2025-nji ýylda ýurdumyzy durmuş-ykdysady taýdan ösdürmegiň we maýa goýum Maksatnamasynyň taslamasynyň işlenip taýýarlanylandygyny belledi.","Döwlet başlygy oturyşyga gatnaşyp, Türkmenistanyň Prezidentiniň 20222028-nji ýyllarda ýurduň içi-iqtisadi taýdan ösüşi Programyny üstünlikli amala aşyrmak üçin ýurduň içi-iqtisadi ösüşi we 2025-nji ýylda investitsiyalar Programynyň ýarygy taýýarlandygyny aýtdy.","Daşary ýurt başlygy oturyşyga seslenende, Türkmenistanyň Prezidentiniň 2022-2028-nji ýyllarda ýurduň içi-iç-iç-iç-iç-iç-iç-iç-iç programyny üstünlikli amala aşyrmak üçin 2025-nji ýylda ýurduň içi-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-i"
"Along with this, preparations are underway for the spring sowing of cotton and food crops.","Bu işler bilen bir hatarda, gowaçanyň we azyklyk ekinleriniň ýazky ekişine taýýarlyk görülýär.",Şeýle - de pamuk we iýmit ekinleriniň bahar ekilmegine taýýarlyk görilýär.,Şeýle-de pamuk we iýmit ösümlikleriniň bahar ekilmegi üçin taýýarlyklar edilýär.
"Interparliamentary contacts, which are an integral part of the interstate dialogue, are also strengthening.","Şunuň bilen birlikde, döwletara dialogyň aýrylmaz bölegi hökmünde çykyş edýän parlamentara gatnaşyklar hem pugtalandyrylýar.",Daşary döwletler arasyndaky gürrüňdeşligiň aýratyn bölegi bolan parlamentlerara baglanyşyklar hem kuwwatlandyrylýar.,Daşary döwletler arasyndaky gürrüňdeşligiň aýratyn bölegi bolan parlamentler arasyndaky gatnaşyklar hem kuwwatlandyrylýar.
"After hearing the report, President Serdar Berdimuhamedov stressed Turkmenistan consistently and closely cooperated with the United Nations.","Hormatly Prezidentimiz Serdar Berdimuhamedow hasabaty diňläp, Türkmenistanyň Birleşen Milletler Guramasy bilen yzygiderli we ýakyndan hyzmatdaşlyk edýändigini nygtady.","Häkim Serdar Berdimuhamedov hasabaty eşidip, Türkmenistan Birleşen Milletler bilen yzygiderli we ýakyndan işleşýändigini nygtap geçdi.","Raporty eşideninden soň, Prezident Serdar Berdimuhamedov Türkmenistanyň Birleşen Milletler Guramasy bilen yzygiderli we ýakyndan işleşýändigini nygtap geçdi."
"As of January 1, 2025, the volume of mortgage loans issued in accordance with the Resolution of the President of Turkmenistan to citizens for the purchase of real estate in the cities of Ashgabat and Arkadag and in the velayats, increased by 16.2 per cent.","2025-nji ýylyň 1-nji ýanwary ýagdaýyna görä, Türkmenistanyň Prezidentiniň degişli Kararlaryna laýyklykda, Aşgabat we Arkadag şäherlerinde, welaýatlarda raýatlara gozgalmaýan emlägi satyn almak üçin berlen karzlaryň möçberi 16,2 göterim artdy.","2025-nji ýylyň 1-nji ýanwar aýyna görä, Aşgabat we Arkadag şäherlerinde we velayatlarda mülk satyn almak üçin türkmenistan prezidentiniň kararyna görä raýatlara berilýän ipoteka kredileriñ sany 16,2 göterim artdy.","2025-nji ýylyň 1-nji ýanwar aýyna görä, Aşgabat we Arkadag şäherlerinde we welaýatlarda mülk satyn almak üçin türkmenistan prezidentiniň kararyna görä raýatlara berilýän ipoteka kredileri 16,2% artdy."
