source,reference,fine_tuned,original
A report was also made on the practical steps taken to widely use the digital system and improve the professionalism of the employees of the prosecutor’s office.,Şeýle hem sanly ulgamy giňden ulanmak we prokuratura edaralarynyň işgärleriniň hünär derejelerini ýokarlandyrmak maksady bilen görülýän çäreler barada aýdyldy.,"Şeýle-de, sanly sistemany giňden ulanmak we prokurorlyk işgärleriniň peşgeşliginiň ösüşi üçin alnyp barylýan praktik ädimler barada hasabat berildi.","Şeýle-de, sanly sistemany giňden ulanmak we prokurorlyk işgärleriniň peşgeşliginiň ösüşi üçin alnyp barylýan nädogry ädimler barada hasabat berildi."
The plan for the production of carpet items by the Türkmenhaly State Association was fulfilled at the level of 102.3 per cent.,"“Türkmenhaly” döwlet birleşigi boýunça haly önümlerini öndürmegiň meýilnamasy 102,3 göterim ýerine ýetirildi.","Türkmenhaly döwlet jemgyýetiniň gulçulyk esbaplary üçin plany 102,3%-da amala aşyryldy.","Türkmenhaly döwlet jemgyýetiniň gulçulyk esbaplary üçin plany 102,3%-da amala aşyryldy."
We are also ready to work with European partners in the field of hydrogen energy and the use of renewable energy sources.,"Biz wodorod energetikasy, energiýanyň gaýtadan dikeldilýän çeşmelerini peýdalanmak boýunça hem ýewropaly hyzmatdaşlar bilen işleşmäge taýýardyrys.",Şeýle-de biz ýuwuz enerjisi we täzelenýän energiýa esbaplary tarapyndaky Ýewropaly ýoldaşlar bilen işleşmäge taýyndyrys.,Şeýle-de biz ýuwuz enerjisi we täzelenýän energiýa esbaplary tarapyndaky Ýewropaly ýoldaşlar bilen işleşmäge taýyndyrys.
"As is known, diplomatic relations between the two countries were established in 1992.","Mälim bolşy ýaly, iki ýurduň arasynda diplomatik gatnaşyklar 1992-nji ýylda ýola goýuldy.","Görşümiz ýaly, iki ýurduň arasyndaky diplomatik gatnaşyklar 1992-nji ýylda guruldy.","Görşümiz ýaly, iki ýurduň arasynda 1992-nji ýylda diplomatik gatnaşyklar guruldy."
I will give another specific example: the Galkynyş field ranks first in the world in terms of gas resources.,Men ýene-de bir anyk mysaly getireýin: Türkmenistandaky «Galkynyş» käni gazyň möçberi boýunça dünýäde birinji orunda durýar.,Men ýene bir aýratyn mysal getiriň: Galkynyş meýdany gaz resurslary babatda dünýäde birinji orunda.,Men ýene bir aýratyn mysal getiriň: Galkynyş meýdany gaz resurslary babatda dünýäde birinji orunda.
"Addressing the participants of the sitting, the head of state said that in order to successfully implement the Programme of the President of Turkmenistan of the Socioeconomic Development of the Country in 2022–2028, a draft Programme of the Socioeconomic Development of the Country and Investments in 2025 had been developed.","Hormatly Prezidentimiz mejlise gatnaşyjylara ýüzlenip, “Türkmenistanyň Prezidentiniň ýurdumyzy 2022 — 2028-nji ýyllarda durmuş-ykdysady taýdan ösdürmegiň Maksatnamasyny” üstünlikli durmuşa geçirmek maksady bilen, 2025-nji ýylda ýurdumyzy durmuş-ykdysady taýdan ösdürmegiň we maýa goýum Maksatnamasynyň taslamasynyň işlenip taýýarlanylandygyny belledi.","Daşary ýurt başlygy oturyşyň iştirakçilerine ýüzlenip, Türkmenistanyň Prezidentiniň 2022-2028-nji ýyllarda ýurduň içi-iç-iç-iç-iç-iç-iç-iç-iç programyny üstünlikli amala aşyrmak üçin 2025-nji ýylda ýurduň içi-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-i","Daşary ýurt başlygy oturyşyga seslenende, Türkmenistanyň Prezidentiniň 2022-2028-nji ýyllarda ýurduň içi-iç-iç-iç-iç-iç-iç-iç-iç programyny üstünlikli amala aşyrmak üçin 2025-nji ýylda ýurduň içi-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-iç-i"
"Along with this, preparations are underway for the spring sowing of cotton and food crops.","Bu işler bilen bir hatarda, gowaçanyň we azyklyk ekinleriniň ýazky ekişine taýýarlyk görülýär.",Şeýle-de pamuk we iýmit ösümlikleriniň bahar ekilmegi üçin taýýarlyklar edilýär.,Şeýle-de pamuk we iýmit ösümlikleriniň bahar ekilmegi üçin taýýarlyklar edilýär.
"Interparliamentary contacts, which are an integral part of the interstate dialogue, are also strengthening.","Şunuň bilen birlikde, döwletara dialogyň aýrylmaz bölegi hökmünde çykyş edýän parlamentara gatnaşyklar hem pugtalandyrylýar.",Daşary döwletler arasyndaky gürrüňdeşligiň aýratyn bölegi bolan parlamentler arasyndaky gatnaşyklar hem kuwwatlandyrylýar.,Daşary döwletler arasyndaky gürrüňdeşligiň aýratyn bölegi bolan parlamentler arasyndaky gatnaşyklar hem kuwwatlandyrylýar.
"After hearing the report, President Serdar Berdimuhamedov stressed Turkmenistan consistently and closely cooperated with the United Nations.","Hormatly Prezidentimiz Serdar Berdimuhamedow hasabaty diňläp, Türkmenistanyň Birleşen Milletler Guramasy bilen yzygiderli we ýakyndan hyzmatdaşlyk edýändigini nygtady.","Raporty eşideninden soň, Prezident Serdar Berdimuhamedov Türkmenistanyň Birleşen Milletler Guramasy bilen yzygiderli we ýakyndan işleşýändigini nygtap geçdi.","Raporty eşideninden soň, Prezident Serdar Berdimuhamedov Türkmenistanyň Birleşen Milletler Guramasy bilen yzygiderli we ýakyndan işleşýändigini nygtap geçdi."
"As of January 1, 2025, the volume of mortgage loans issued in accordance with the Resolution of the President of Turkmenistan to citizens for the purchase of real estate in the cities of Ashgabat and Arkadag and in the velayats, increased by 16.2 per cent.","2025-nji ýylyň 1-nji ýanwary ýagdaýyna görä, Türkmenistanyň Prezidentiniň degişli Kararlaryna laýyklykda, Aşgabat we Arkadag şäherlerinde, welaýatlarda raýatlara gozgalmaýan emlägi satyn almak üçin berlen karzlaryň möçberi 16,2 göterim artdy.","2025-nji ýylyň 1-nji ýanwar aýyna görä, Aşgabat we Arkadag şäherlerinde we welaýatlarda mülk satyn almak üçin türkmenistan prezidentiniň kararyna görä raýatlara berilýän ipoteka kredileri 16,2% artdy.","2025-nji ýylyň 1-nji ýanwar aýyna görä, Aşgabat we Arkadag şäherlerinde we welaýatlarda mülk satyn almak üçin türkmenistan prezidentiniň kararyna görä raýatlara berilýän ipoteka kredileri 16,2% artdy."
It is symbolic that we celebrate the day of adopting the Main Law with the holiday of Magtymguly Pyragy.,Baş Kanunymyzyñ kabul edilen gününiñ türkmeniñ beýik akyldary Magtymguly Pyragynyñ şygryýet güni bilen bir günde baýram edilmeginiñ çuññur ruhy hem taryhy manysy bar.,Biz Baş Kanuny kabul eden güni Magtymguly pyragy baýramy bilen belleýäris.,Biz Baş Kanuny kabul eden güni Magtymguly pyragy baýramy bilen belleýäris.
"It was also reported on the work carried out during the reporting period by theatres, circuses, cinemas, cinema and concert centres, libraries, museums, the Turkmen State Publishing Service, Oguzhan Turkmenfilm Association and the State News Agency.","Hasabat döwründe teatrlaryň, sirkleriň, kinoteatrlaryň, kinokonsert merkezleriniň, kitaphanalaryň, muzeýleriň, Türkmen döwlet neşirýat gullugynyň, Oguz han adyndaky «Türkmenfilm» birleşiginiň, Döwlet habarlar agentliginiňýerine ýetiren işleri barada-da habar berildi.","Şeýle-de bu hasabatda teatrlar, sirklar, kinolar, kino we kontsert merkezleri, kitaphanalar, muzeýler, Türkmen ýurduň neşiriş gullugy, Oguzhan Türkmenfilm jemgyýeti we Ýurduň habar agentliginiň hasabat döwründe eden işleri barada habar berildi.","Şeýle-de bu hasabatda teatrlar, sirklar, kinolar, kino we kontsert merkezleri, kitaphanalar, muzeýler, Türkmen ýurduň neşiriş gullugy, Oguzhan Türkmenfilm jemgyýeti we Ýurduň habar agentliginiň hasabat döwründe eden işleri barada habar berildi."
"Upon warmly welcoming the distinguished guest to the Turkmen land and thanking him for the kind words, Head of State Serdar Berdimuhamedov conveyed his best wishes in return to the President of the Russian Federation and the fraternal people of the friendly country.","Döwlet Baştutanymyz belent mertebeli myhmany myhmansöýer türkmen topragynda mähirli mübärekläp we hoşniýetli sözler üçin minnetdarlyk bildirip, Russiýa Federasiýasynyň Prezidentine hem-de halkyna iň gowy arzuwlaryny beýan etdi.","Serdar Berdimuhamedov türkmen ýurduna gelen hormatly myhmany mähirli garşylap, mähirli sözleri üçin minnetdarlyk bildirdi.","Serdar Berdimuhamedov türkmen ýurduna gelen hormatly myhmany mähirli garşylap, mähirli sözleri üçin minnetdarlyk bildirdi."
"Congratulations to the people of Turkmenistan on the international Day of Revival, Unity and Poetry of Magtymguly Pyragy.","Türkmenistanyň halkyna Galkynyş, Agzybirlik we Magtymguly Pyragynyň şygryýet güni mynasybetli gutlagdan.","Türkmenistan halkyny Magtymguly pyragýasynyň halkara direlişi, birligi we şiir güni bilen guwanýaryn.","Türkmenistan halkyny Magtymguly pyragýasynyň halkara direlişi, birligi we şiir güni bilen guwanýaryn."
"The growth rate of freight transportation by road, railway, air, sea and river transport reached 102.8 per cent and of passenger transportation – 104.2 per cent.","Awtomobil, demir ýol, howa, deňiz, derýa ulaglary arkaly ýükleri daşamagyň ösüş depgini 102,8 göterime, ýolagçy gatnatmagyň ösüş depgini 104,2 göterime barabar boldy.","Ýol, temir ýol, hawa, deňiz we derýa ýollary bilen ýük ugulyşynyň ösüş derejesi 102,8%, ýolagçy ugulyşynyň ösüş derejesi - 104,2%.","Ýol, temir ýol, hawa, deňiz we derýa ýollary bilen ýük ugulyşynyň ösüş derejesi 102,8%, ýolagçy ugulyşynyň ösüş derejesi - 104,2%."
"Nowruz, taking a special place in the life of the peoples of the East, was a holiday of humanism, unity, friendship and brotherhood.","Gündogar halklarynyň durmuşynda aýratyn orun eýeleýän Nowruz ynsanperwerligiň, agzybirligiň, dost-doganlygyň baýramydyr.","Gündogar halklarynyň durmuşynda aýratyn orun tutýan Nowruz adamzatçyllyk, agzybirlik, dostluk we doganlyk baýramy boldy.","Norruz gündogar halklarynyň durmuşynda aýratyn orun tutýar. Bu gün humanizm, agzybirlik, dostluk we doganlyk baýramy."
"Secondly, mutual consideration of interests.","Ikinjiden, bähbitleriň özara hasaba alynmagy.","Ikinjiden, özara bähbidini göz öňünde tutmak.","Ikinjiden, özara bähbidini göz öňünde tutmak."
"The poet’s high humanistic ideals, his thoughts about dignity of human being, patriotism, kindness and peace loving are actual in all times; they became spiritual concept of modern Turkmen society, homily to present and future generations.","Şahyryñ ynsan mertebesi, watansöýüjilik, parahatçylyk, hoşniýetlilik ýaly gymmatly pikirleri täze türkmen jemgyýeti, şu günki we geljekki nesillerimiz üçin ruhy ýörelgedir.","Şaýadyň beýik ynsanperwerlik idealy, adamzat abraýy, vatanperwerligi, ýagşylygy we parahatlygy söýýänligi barada pikirleri ähli döwürde hakykatdy; olar häzirki türkmen jemgyýetiniň ruhy manysyna, häzirki we geljekki nesillere öwüt-nesihat boldy.","Şaýadyň beýik ynsanperwerlik idealy, adamzat abraýy, vatanperwerligi, ýagşylygy we parahatlygy söýýänligi barada pikirleri ähli döwürde hakykatdy; olar häzirki türkmen jemgyýetiniň ruhy manysyna, häzirki we geljekki nesillere öwüt-nesihat boldy."
